sættir	sættið	V;IND;PRS;2;SG	V;IMP;2;PL	C
sætti	sættir	V;SBJV;PST;1;SG	V;IND;PST;2;SG	C
sættir	sættir	V;IND;PRS;2;SG	V;IND;PRS;3;SG	C
handbolta	handbolta	N;INDF;DAT;SG	N;INDF;GEN;SG	C
handboltanum	handbolta	N;DEF;DAT;SG	N;INDF;DAT;SG	C
mála	máli	V;IMP;2;SG	V;SBJV;PRS;1;SG	C
útlisti	útlista	N;INDF;DAT;SG	N;INDF;GEN;PL	SRC_LEXICAL_ERROR
flokkar	flokki	N;INDF;NOM;PL	N;INDF;DAT;SG	C
skýr	skýr	V;IMP;2;SG	V;IMP;2;SG	C
leyndir	leyn	V;IND;PST;2;SG	V;IMP;2;SG	C
köstum	kasti	V;SBJV;PRS;1;PL	V;SBJV;PRS;3;PL	C
klæddi	klæði	V;IND;PST;3;SG	V;SBJV;PRS;1;SG	C
styrkja	styrkjum	V;NFIN	V;SBJV;PRS;1;PL	C
klæðið	klæði	V;IMP;2;PL	V;SBJV;PRS;1;SG	C
flokk	flokki	N;INDF;ACC;SG	N;INDF;DAT;SG	C
skírið	skírið	V;IMP;2;PL	V;IND;PRS;2;PL	C
óvirti	óvirtuð	N;INDF;DAT;SG	V;IND;PST;2;PL	SRC_LEXICAL_ERROR
skutuð	skjóta	V;IND;PST;2;PL	V;NFIN	C
lastmælin	lastmælt	ADJ;ACC;PL	V.PTCP;PST;ACC;SG	SRC_LEXICAL_ERROR
líkinu	líkunum	N;DEF;DAT;SG	N;DEF;DAT;PL	C
minnti	minna	V;SBJV;PST;3;SG	V;NFIN	C
misstir	missir	V;IND;PST;2;SG	V;SBJV;PRS;2;SG	C
flokkinn	flokki	N;DEF;ACC;SG	N;INDF;DAT;SG	C
skapinu	sköpum	N;DEF;DAT;SG	N;INDF;DAT;PL	C
skýrðuð	skýra	V;SBJV;PST;2;PL	V;NFIN	C
greina	greinum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
